IDENTIFYER,Location,Authors,year,Journal,Species,Family,N_fix,Growth_Habit,Koppen,Lat,Long,MAP,MAT,EVAP,DryIND,Elevation,Land_system,Narea,WUEi,Aarea,gsarea,Log10Narea,Log10WUEi,Log10A,Log10gs,SLA,LMA,Log10SLA
5,A,Ackerly,2004,Ecol mono,Ceanothus cuneatus var. cuneatus,Rhamnaceae,F,Ev. Ang.,C,37.4,-122.25,818,13,338,1.15,150,Natural,4.17,85.1,23.4,0.275,0.620136055,1.929883164,1.369215857,-0.560667306,4.47,223.7136465,0.650307523
6,A,Ackerly,2004,Ecol mono,Ceanothus oliganthus var. sorediatus,Rhamnaceae,F,Ev. Ang.,C,37.4,-122.25,818,13,338,1.15,150,Natural,2.7,55.6,18.4,0.331,0.431363764,1.744989829,1.264817823,-0.480172006,8.42,118.7648456,0.925312091
7,A,Ackerly,2004,Ecol mono,Cercocarpus betuloides,Rosaceae,F,Dec. Ang.,C,37.4,-122.25,818,13,338,1.15,150,Natural,3.46,44.6,25,0.561,0.539076099,1.648977147,1.397940009,-0.251037139,7.41,134.9527665,0.869818208
14,A,Ackerly,2004,Ecol mono,Lotus scoparius,Fabaceae,F,Ev. Ang.,C,37.4,-122.25,818,13,338,1.15,150,Natural,2.17,52,22.6,0.435,0.336459734,1.715619182,1.354108439,-0.361510743,10.64,93.98496241,1.026941628
1,A,Ackerly,2004,Ecol mono,Adenostoma fasciculatum,Rosaceae,N,Ev. Ang.,C,37.4,-122.25,818,13,338,1.15,150,Natural,3.57,53.4,14.8,0.277,0.552668216,1.727781946,1.170261715,-0.557520231,3.55,281.6901408,0.550228353
2,A,Ackerly,2004,Ecol mono,Arbutus menziesii,Ericaceae,N,Ev. Ang.,C,37.4,-122.25,818,13,338,1.15,150,Natural,1.99,71.6,11.6,0.162,0.298853076,1.854942975,1.064457989,-0.790484985,6.58,151.9756839,0.818225894
3,A,Ackerly,2004,Ecol mono,Arctostaphylos tomentosa var. crustacea,Ericaceae,N,Ev. Ang.,C,37.4,-122.25,818,13,338,1.15,150,Natural,1.52,65.1,10.8,0.166,0.181843588,1.813315667,1.033423755,-0.779891912,7.28,137.3626374,0.862131379
4,A,Ackerly,2004,Ecol mono,Baccharis pilularis,Asteraceae,N,Ev. Ang.,C,37.4,-122.25,818,13,338,1.15,150,Natural,2.62,77.6,18,0.232,0.418301291,1.88978452,1.255272505,-0.634512015,9.42,106.1571125,0.974050903
8,A,Ackerly,2004,Ecol mono,Diplacus aurantiacus,Scrophulariaceae,N,Ev. Ang.,C,37.4,-122.25,818,13,338,1.15,150,Natural,1.35,49.2,15.8,0.321,0.130333768,1.692152055,1.198657087,-0.493494968,9.04,110.619469,0.95616843
9,A,Ackerly,2004,Ecol mono,Dirca occidentalis,Thymelaeaceae,N,Dec. Ang.,C,37.4,-122.25,818,13,338,1.15,150,Natural,1.52,52.1,7.4,0.142,0.181843588,1.716943375,0.86923172,-0.847711656,17.65,56.6572238,1.24674471
