Site,Date_Asat,Date_Rd,Species,Code,Fixer,Nonfixer,Meas,Treatment,Rep,T30_air,Tair,Tleaf,Tleaf_cor,A_area,A_mass,Rd_area,Rd_mass,E,g,WUE (A/g),%N_mass,gN_m-2,LMA,d13C,Leaf_bio_g_end,AGB_est_kg_harv,NLIM,NSAT,NLIM_Alt1,NLSAT_Alt1,NLIM_Alt2,NSAT_Alt2,WL/DIS/DAM,Use_biomass_end
W,7/16/2019,NA,CAEQ,CAEQ,1,0,1,HN,1,23.4,26.59666667,29.53,31.01994667,14.22148646,47.09101478,NA,NA,0.00431,0.175204299,81.17087599,1.62,4.88,302,-29.32,213.277991,0.624219195,0,1,0,1,0,1,0,1
W,7/16/2019,NA,CAEQ,CAEQ,1,0,1,HN,2,23.4,26.97333333,30.35333333,32.19337733,13.71933409,47.53754015,NA,NA,0.00402,0.154049637,89.05788011,1.82,5.25,288.6,-28.52,276.317802,0.776348028,0,1,0,1,0,1,0,1
W,7/16/2019,NA,CAEQ,CAEQ,1,0,1,HN,3,23.4,26.64333333,29.71333333,31.31039933,9.233581944,28.29783005,NA,NA,0.0026,0.105777846,87.29221011,2.06,6.72,326.3,-29.05,3685.29005,15.57481436,0,1,0,1,0,1,0,1
W,7/16/2019,NA,CAEQ,CAEQ,1,0,1,HN,4,23.4,26.89,28.71666667,29.339208,9.199571158,39.04741578,NA,NA,0.00156,0.09687326,94.96502107,1.95,4.6,235.6,-30.37,2986.141357,11.61924031,0,1,0,1,0,1,0,1
W,7/17/2019,NA,CAEQ,CAEQ,1,0,1,HN,5,23.4,25.05666667,26.11333333,26.13234867,17.97703127,60.28514847,NA,NA,0.00336,0.273475574,65.73541847,1.67,4.98,298.2,-30.24,2654.835711,10.93703836,0,1,0,1,0,1,0,1
W,7/17/2019,NA,CAEQ,CAEQ,1,0,1,HN,6,23.4,26.36,27.63666667,27.828118,16.36698965,38.22276891,NA,NA,0.00392,0.25399187,64.43902971,1.13,4.83,428.2,-30.26,1149.57524,4.559259204,0,1,0,1,0,1,0,1
W,7/17/2019,NA,CAEQ,CAEQ,1,0,1,HN,7,23.4,26.46666667,27.75333333,27.95262267,16.86327254,53.29732157,NA,NA,0.00373,0.258108846,65.33395812,1.32,4.16,316.4,-30.72,1969.811449,6.983924372,0,1,0,1,0,1,0,1
W,7/17/2019,NA,CAEQ,CAEQ,1,0,1,HN,8,23.4,26.91,28.81,29.49002,19.2775621,58.84481715,NA,NA,0.00391,0.247837469,77.78308176,1.77,5.79,327.6,-28.58,3579.881282,14.82298289,0,1,0,1,0,1,1,1
W,7/20/2019,NA,CAEQ,CAEQ,1,0,1,HN,9,23.4,26.87,28.22,28.46893,16.03435831,86.90709113,NA,NA,0.00493,0.269342238,59.53154039,2.27,4.18,184.5,-31.76,2115.534958,8.60031422,0,1,0,1,0,1,0,0
W,7/16/2019,NA,CAEQ,CAEQ,1,0,1,LN,1,23.4,26.45666667,28.94666667,30.08912867,18.21665645,71.88893627,NA,NA,0.00485,0.22871874,79.64654094,1.95,4.93,253.4,-29.83,2499.148281,10.9760778,0,1,0,1,0,1,0,1
W,7/16/2019,NA,CAEQ,CAEQ,1,0,1,LN,2,23.4,27.09,31.35333333,33.885734,13.10520298,50.5992393,NA,NA,0.00423,0.137700099,95.17206681,1.66,4.29,259,-30.41,1250.731759,4.487965936,0,1,0,1,0,1,0,1
W,7/16/2019,NA,CAEQ,CAEQ,1,0,1,LN,3,23.4,26.63,29.54333333,31.017604,10.00838383,26.4352452,NA,NA,0.00325,0.140192269,71.39041189,1.52,5.75,378.6,-30.62,2000.239312,7.0925289,0,1,0,1,0,1,0,1
W,7/16/2019,NA,CAEQ,CAEQ,1,0,1,LN,4,23.4,26.53,29.49333333,31.006794,14.58919478,39.74174551,NA,NA,0.00443,0.201004559,72.58141225,1.57,5.75,367.1,-28.81,973.573582,3.700872867,0,1,0,1,0,1,0,1
